domisili;belajar;kelas;durasi_belajar;jumlah_keluarga;cita_cita;minat_belajar
Rumah;Iya;11;30;3;Ya;Iya
Rumah;Iya;11;30;4;Ya;Iya
Rumah;Iya;11;30;2;Ya;Iya
Rumah;Iya;11;60;5;Ya;Iya
Rumah;Iya;11;60;3;Ya;Iya
Rumah;Tidak;11;0;1;Tidak;Iya
Pondok;Iya;12;60;2;Ya;Iya
Pondok;Iya;12;30;2;Ya;Iya
Pondok;Jarang;12;30;3;Ya;Iya
Pondok;Iya;12;60;3;Ya;Iya
Pondok;Iya;12;60;3;Ya;Iya
Rumah;Iya;11;30;4;Ya;Iya
Pondok;Iya;12;30;3;Ya;Iya
Rumah;Jarang;11;60;5;Ya;Tidak
Pondok;Iya;12;30;3;Ya;Iya
Pondok;Iya;12;30;4;Ya;Iya
Rumah;Iya;11;60;2;Ya;Iya
Pondok;Iya;11;30;3;Ya;Iya
Rumah;Jarang;9;0;5;Ya;Iya
Pondok;Iya;11;60;3;Ya;Iya
Rumah;Jarang;11;2;5;Ya;Iya
Rumah;Iya;11;60;4;Ya;Iya
Pondok;Jarang;10;90;1;Ya;Iya
Pondok;Jarang;10;60;2;Ya;Iya
Pondok;Iya;10;30;3;Ya;Iya
Pondok;Jarang;10;120;5;Ya;Iya
Pondok;Jarang;11;90;3;Ya;Iya
Pondok;Jarang;10;90;4;Ya;Iya
Pondok;Iya;10;90;3;Ya;Iya
Pondok;Iya;10;90;3;Ya;Iya
Pondok;Jarang;10;60;4;Ya;Iya
Rumah;Tidak;10;0;1;Tidak;Tidak
Pondok;Jarang;9;0;4;Tidak;Tidak
Rumah;Tidak;10;0;2;Tidak;Tidak
Rumah;Tidak;11;0;2;Ya;Tidak
Pondok;Iya;11;30;3;Tidak;Tidak
