domisili;belajar;kelas;durasi_belajar;jumlah_keluarga;cita_cita;minat_belajar
Krajan;Jarang;7;60;6;Ya;Iya
Krajan;Iya;7;30;4;Ya;Iya
Krajan;Jarang;7;30;4;Ya;Iya
Gunung Malang;Iya;7;60;5;Ya;Iya
Gunung Malang;Iya;7;60;3;Ya;Iya
Dulukan;Tidak;7;0;6;Tidak;Tidak
Krajan;Jarang;7;30;4;Ya;Iya
Krajan;Iya;7;90;4;Ya;Iya
Dulukan;Tidak;7;0;4;Tidak;Tidak
Krajan;Jarang;8;30;3;Ya;Iya
Krajan;Iya;8;60;4;Ya;Iya
Gunung Malang;Jarang;8;30;3;Ya;Iya
Krajan;Jarang;8;30;4;Ya;Tidak
Dulukan;Jarang;8;30;3;Ya;Iya
Krajan;Jarang;8;30;5;Ya;Iya
Dulukan;Jarang;8;30;4;Ya;Iya
Krajan;Jarang;8;30;3;Ya;Iya
Gunung Malang;Jarang;8;30;4;Ya;Iya
Krajan;Jarang;8;30;3;Ya;Tidak
Krajan;Jarang;9;30;3;Ya;Iya
Dulukan;Jarang;9;30;3;Ya;Tidak
Gunung Malang;Tidak;9;0;3;Tidak;Tidak
Krajan;Jarang;9;30;2;Ya;Iya
Dulukan;Jarang;9;30;3;Ya;Iya
Gunung Malang;Jarang;9;30;3;Ya;Iya
Gunung Malang;Jarang;9;60;2;Ya;Iya
Krajan;Jarang;9;30;4;Ya;Iya
Pancor;Tidak;9;0;4;Tidak;Tidak
Pancor;Jarang;9;30;2;Ya;Iya
Darmoyo Patemon;Jarang;9;30;2;Ya;Iya
Darmoyo Patemon;Jarang;9;30;2;Ya;Iya
Krajan;Jarang;9;30;3;Ya;Iya
Gunung Malang;Jarang;9;30;2;Ya;Iya
Gabus Utara Ranon;Jarang;9;30;5;Ya;Iya
Dulukan;Tidak;9;0;4;Tidak;Tidak
Dulukan;Tidak;9;0;4;Tidak;Tidak
Dawuhan;Jarang;9;30;4;Tidak;Iya
Gunung Malang;Iya;9;30;4;Ya;Iya
Krajan;Jarang;9;30;3;Ya;Iya
Dulukan;Jarang;9;30;4;Ya;Iya
Dulukan;Jarang;9;30;3;Ya;Iya
