domisili;kelas;durasi_belajar;minat_belajar
Krajan;7;60;Iya
Krajan;7;30;Iya
Krajan;7;30;Iya
Gunung Malang;7;60;Iya
Gunung Malang;7;60;Iya
Dulukan;7;0;Tidak
Krajan;7;30;Iya
Krajan;7;90;Iya
Dulukan;7;0;Tidak
Krajan;8;30;Iya
Krajan;8;60;Iya
Gunung Malang;8;30;Iya
Krajan;8;30;Tidak
Dulukan;8;30;Iya
Krajan;8;30;Iya
Dulukan;8;30;Iya
Krajan;8;30;Iya
Gunung Malang;8;30;Iya
Krajan;8;30;Tidak
Krajan;9;30;Iya
Dulukan;9;30;Tidak
Gunung Malang;9;0;Tidak
Krajan;9;30;Iya
Dulukan;9;30;Iya
Gunung Malang;9;30;Iya
Gunung Malang;9;60;Iya
Krajan;9;30;Iya
Pancor;9;0;Tidak
Pancor;9;30;Iya
Darmoyo Patemon;9;30;Iya
Darmoyo Patemon;9;30;Iya
Krajan;9;30;Iya
Gunung Malang;9;30;Iya
Gabus Utara Ranon;9;30;Iya
Dulukan;9;0;Tidak
Dulukan;9;0;Tidak
Dawuhan;9;30;Iya
Gunung Malang;9;30;Iya
Krajan;9;30;Iya
Dulukan;9;30;Iya
Dulukan;9;30;Iya
